"Product_Num","Machine_Num","Avg_Duration","Step_Num"
"SH013","38","11.48","4"
"SH013","45","57.4","5"
"SH013","52","14.42","6"
"SH013","68","88.26","7"
"SH013","72","7.72","8"
"SH014","4","22.5","1"
"SH014","19","24.22","2"
"SH014","27","7.58","3"
"SH014","33","7.55","4"
"SH014","49","41.33","5"
"SH014","56","14.94","6"
"SH014","70","51.08","7"
"SH014","72","7.71","8"
"SH015","2","29.16","1"
"SH015","14","12.53","2"
"SH015","23","6.99","3"
"SH015","36","5.49","4"
"SH015","42","66.42","5"
"SH015","60","13.43","6"
"SH015","64","68.71","7"
"SH015","71","8.65","8"
"SH016","9","48.78","1"
"SH016","17","17.09","2"
"SH016","26","2.99","3"
"SH016","32","8.53","4"
"SH016","46","42.34","5"
"SH016","51","21.97","6"
"SH016","67","45.88","7"
"SH016","72","7.71","8"
"SH017","2","49.87","1"
"SH017","12","22","2"
"SH017","25","5.49","3"
"SH017","32","11.98","4"
"SH017","47","31.49","5"
"SH017","55","20.37","6"
"SH017","66","43.66","7"
"SH017","72","7.91","8"
"SH018","8","25.06","1"
"SH018","15","13.52","2"
"SH018","22","6.03","3"
"SH018","31","10.95","4"
"SH018","50","34.65","5"
"SH018","56","14.53","6"
"SH018","65","89.48","7"
"SH018","71","8.8","8"
"SH019","7","45.58","1"
"SH019","17","12.54","2"
"SH019","29","3.5","3"
"SH019","31","12.43","4"
"SH019","43","31.16","5"
"SH019","58","8.02","6"
"SH019","70","79.62","7"
"SH019","72","7.75","8"
"SH020","9","46.52","1"
"SH020","13","17.02","2"
"SH020","28","4.01","3"
"SH020","34","11","4"
"SH020","41","35.02","5"
"SH020","55","17.45","6"
"SH020","65","51.96","7"
"SH020","71","8.78","8"
"SH021","6","24.06","1"
"SH021","16","18.06","2"
"SH021","29","5","3"
"SH021","40","14.4","4"
"SH021","41","71.83","5"
"SH021","55","19.02","6"
"SH021","64","27","7"
"SH021","71","8.7","8"
"SH022","8","26.63","1"
"SH022","14","14.99","2"
"SH022","29","4.49","3"
"SH022","40","12.95","4"
"SH022","46","50.73","5"
"SH022","57","8.05","6"
"SH022","64","25.5","7"
"SH022","71","8.75","8"
"SH023","7","21.56","1"
"SH023","16","11.47","2"
"SH023","26","5.5","3"
"SH023","31","9.42","4"
"SH023","45","32.67","5"
"SH023","52","17.18","6"
"SH023","68","24.2","7"
"SH023","72","7.72","8"
"SH024","7","46.87","1"
"SH024","16","12.45","2"
"SH024","23","4.5","3"
"SH024","36","11.57","4"
"SH024","47","63.16","5"
"SH024","54","12.01","6"
"SH024","68","53.05","7"
"SH024","72","7.61","8"
"SH025","10","23.3","1"
"SH025","15","15.5","2"
"SH025","22","4.01","3"
"SH025","39","10.49","4"
"SH025","44","52.78","5"
"SH025","59","13.36","6"
"SH025","64","72.99","7"
"SH025","71","8.64","8"
"SH026","5","25.43","1"
"SH026","17","10.44","2"
"SH026","27","4.01","3"
"SH026","35","14.05","4"
"SH026","45","63.03","5"
"SH026","55","20.4","6"
"SH026","66","36.57","7"
"SH026","72","7.47","8"
"SH027","10","45.53","1"
"SH027","20","20.01","2"
"SH027","25","7.42","3"
"SH027","39","5.01","4"
"SH027","49","72.09","5"
"SH027","52","18.05","6"
"SH027","70","84.91","7"
"SH027","72","7.69","8"
"SH028","1","49.29","1"
"SH028","16","10.56","2"
"SH028","25","5.01","3"
"SH028","32","13.08","4"
"SH028","43","40.13","5"
"SH028","55","17.57","6"
"SH028","65","42.4","7"
"SH028","71","8.83","8"
"SH029","2","21.01","1"
"SH029","12","17.94","2"
"SH029","27","4.5","3"
"SH029","34","8.51","4"
"SH029","48","33.44","5"
"SH029","55","21.5","6"
"SH029","61","75.85","7"
"SH029","71","8.55","8"
"SH030","9","18.07","1"
"SH030","14","25.03","2"
"SH030","24","4.5","3"
"SH030","33","13.51","4"
"SH030","42","50.53","5"
"SH030","54","18.41","6"
"SH030","61","30.62","7"
"SH030","71","8.69","8"
"SH031","5","26.21","1"
"SH031","12","15.52","2"
"SH031","23","7.49","3"
"SH031","37","7.49","4"
"SH031","41","66.36","5"
"SH031","56","16.5","6"
"SH031","61","66.78","7"
"SH031","71","8.65","8"
"SH032","4","37.63","1"
"SH032","13","17.53","2"
"SH032","27","5.98","3"
"SH032","32","14.51","4"
"SH032","50","41.34","5"
"SH032","54","22.77","6"
"SH032","67","73.69","7"
"SH032","72","7.96","8"
"SH033","10","31.42","1"
"SH033","17","20.65","2"
"SH033","26","5.52","3"
"SH033","38","6.98","4"
"SH033","46","72.17","5"
"SH033","56","7.97","6"
"SH033","64","15.42","7"
"SH033","71","8.81","8"
"SH034","3","44.81","1"
"SH034","15","22.35","2"
"SH034","28","6.04","3"
"SH034","34","13.99","4"
"SH034","50","69.27","5"
"SH034","57","19.92","6"
"SH034","69","58.89","7"
"SH034","72","7.78","8"
"SH035","10","29.45","1"
"SH035","16","18.39","2"
"SH035","24","5.52","3"
"SH035","36","5.96","4"
"SH035","47","47.5","5"
"SH035","57","9.54","6"
"SH035","63","78.45","7"
"SH035","71","8.83","8"
"SH036","2","38.3","1"
"SH036","15","20.02","2"
"SH036","25","3.99","3"
"SH036","39","12.03","4"
"SH036","44","64.37","5"
"SH036","53","8.02","6"
"SH036","65","27.59","7"
"SH036","71","8.53","8"
"SH037","9","20","1"
"SH037","18","12","2"
"SH037","25","6.94","3"
"SH037","38","10.58","4"
"SH037","46","60.52","5"
"SH037","52","12.04","6"
"SH037","65","16.6","7"
"SH037","71","8.83","8"
"SH038","1","44.41","1"
"SH038","17","21.27","2"
"SH038","29","4","3"
"SH038","32","9.5","4"
"SH038","42","68.04","5"
"SH038","51","10.49","6"
"SH038","68","81.74","7"
"SH038","72","7.72","8"
"SH039","2","48.11","1"
"SH039","16","11.99","2"
"SH039","21","3.5","3"
"SH039","36","8.44","4"
"SH039","48","34.78","5"
"SH039","60","12.99","6"
"SH039","61","48.13","7"
"SH039","71","8.59","8"
"SH040","8","25.96","1"
"SH040","19","18.32","2"
"SH040","22","2.5","3"
"SH040","38","10.93","4"
"SH040","41","71.15","5"
"SH040","55","21.12","6"
"SH040","63","71.93","7"
"SH040","71","8.68","8"
"SH041","7","24.37","1"
"SH041","18","15.45","2"
"SH041","22","3","3"
"SH041","39","10.51","4"
"SH041","45","69.02","5"
"SH041","55","9.51","6"
"SH041","61","85.41","7"
"SH041","71","9.05","8"
"SH042","10","20.82","1"
"SH042","18","13.54","2"
"SH042","25","7.51","3"
"SH042","37","10.02","4"
"SH042","45","52.65","5"
"SH042","56","17.06","6"
"SH042","66","54.2","7"
"SH042","72","7.75","8"
"SH043","6","20.05","1"
"SH043","13","18.04","2"
"SH043","28","6.01","3"
"SH043","32","12.44","4"
"SH043","48","74.58","5"
"SH043","52","21.99","6"
"SH043","66","58.22","7"
"SH043","72","7.85","8"
"SH044","9","18.91","1"
"SH044","14","19.44","2"
"SH044","22","4","3"
"SH044","37","11.03","4"
"SH044","45","56.81","5"
"SH044","55","9.51","6"
"SH044","63","78.48","7"
"SH044","71","8.7","8"
"SH045","5","31.42","1"
"SH045","18","14.91","2"
"SH045","27","3.5","3"
"SH045","37","6.97","4"
"SH045","45","33.22","5"
"SH045","57","15.49","6"
"SH045","69","55.6","7"
"SH045","72","7.89","8"
"SH046","5","33.28","1"
"SH046","17","15.35","2"
"SH046","25","5.03","3"
"SH046","35","8.5","4"
"SH046","43","73.6","5"
"SH046","58","21.91","6"
"SH046","64","34.13","7"
"SH046","71","8.79","8"
"SH047","4","18.04","1"
"SH047","17","21.81","2"
"SH047","28","2.97","3"
"SH047","31","6","4"
"SH047","44","33.98","5"
"SH047","55","18.96","6"
"SH047","67","72.8","7"
"SH047","72","7.77","8"
"SH048","7","47.64","1"
"SH048","18","23.6","2"
"SH048","25","4.04","3"
"SH048","32","13.59","4"
"SH048","42","40.94","5"
"SH048","53","16.02","6"
"SH048","69","56.89","7"
"SH048","72","7.52","8"
"SH049","2","42.75","1"
"SH049","17","17.57","2"
"SH049","28","3.99","3"
"SH049","40","11.39","4"
"SH049","44","63.93","5"
"SH049","59","14.52","6"
"SH049","66","15.44","7"
"SH049","72","7.74","8"
"SH050","9","43.04","1"
"SH050","15","18.46","2"
"SH050","27","6.43","3"
"SH050","32","12.6","4"
"SH050","48","71.34","5"
"SH050","51","9.92","6"
"SH050","68","68.42","7"
"SH050","72","7.66","8"
"SH051","1","24.09","1"
"SH051","15","12.52","2"
"SH051","27","6","3"
"SH051","33","10.03","4"
"SH051","50","42.54","5"
"SH051","53","19.52","6"
"SH051","67","21.75","7"
"SH051","72","7.71","8"
"SH052","5","37.8","1"
"SH052","15","21.13","2"
"SH052","25","7.54","3"
"SH052","32","14.47","4"
"SH052","42","45.78","5"
"SH052","52","17.43","6"
"SH052","68","22.34","7"
"SH052","72","7.79","8"
"SH053","6","31.05","1"
"SH053","15","16.03","2"
"SH053","28","3.5","3"
"SH053","39","5.02","4"
"SH053","42","32.21","5"
"SH053","52","18.81","6"
"SH053","67","47.82","7"
"SH053","72","7.63","8"
"SH054","4","36.1","1"
"SH054","14","20.42","2"
"SH054","22","6.03","3"
"SH054","37","5.97","4"
"SH054","43","49.9","5"
"SH054","60","8.48","6"
"SH054","65","17.44","7"
"SH054","71","8.74","8"
"SH055","4","37.27","1"
"SH055","15","13.88","2"
"SH055","24","4.51","3"
"SH055","36","5.48","4"
"SH055","42","33.6","5"
"SH055","56","18.91","6"
"SH055","70","72.74","7"
"SH055","72","7.7","8"
"SH056","7","24.3","1"
"SH056","18","14.79","2"
"SH056","30","4.99","3"
"SH056","36","15.15","4"
"SH056","42","41.84","5"
"SH056","51","15.46","6"
"SH056","68","46.27","7"
"SH056","72","7.67","8"
"SH057","4","46.9","1"
"SH057","12","23.61","2"
"SH057","29","3.5","3"
"SH057","34","11","4"
"SH057","49","44.37","5"
"SH057","55","16.52","6"
"SH057","65","53.48","7"
"SH057","71","8.42","8"
"SH058","6","23.33","1"
"SH058","17","15.06","2"
"SH058","26","4.48","3"
"SH058","38","11.96","4"
"SH058","41","67.23","5"
"SH058","57","9.4","6"
"SH058","70","75.24","7"
"SH058","72","7.84","8"
"SH059","6","20.46","1"
"SH059","17","14.84","2"
"SH059","28","3.99","3"
"SH059","33","6.04","4"
"SH059","50","70.48","5"
"SH059","59","15.06","6"
"SH059","65","44.74","7"
"SH059","71","9.06","8"
"SH060","5","15.09","1"
"SH060","19","21.55","2"
"SH060","28","6.03","3"
"SH060","32","13.56","4"
"SH060","41","61.67","5"
"SH060","53","22.11","6"
"SH060","67","46.57","7"
"SH060","72","7.75","8"
"SH061","7","39.57","1"
"SH061","16","19.46","2"
"SH061","24","4.5","3"
"SH061","37","5.95","4"
"SH061","48","69.31","5"
"SH061","59","22.6","6"
"SH061","70","62.89","7"
"SH061","72","7.9","8"
"SH062","2","26.03","1"
"SH062","13","20.02","2"
"SH062","27","5.03","3"
"SH062","33","6.46","4"
"SH062","50","51.95","5"
"SH062","59","14.47","6"
"SH062","64","79.05","7"
"SH062","71","8.74","8"
"SH063","2","47.94","1"
"SH063","13","16.63","2"
"SH063","24","3.02","3"
"SH063","35","7.08","4"
"SH063","44","62.35","5"
"SH063","56","19.05","6"
"SH063","66","50.53","7"
"SH063","72","7.72","8"
"SH064","6","35.5","1"
"SH064","14","10.53","2"
"SH064","25","7.54","3"
"SH064","32","7.98","4"
"SH064","42","60.87","5"
"SH064","53","10.55","6"
"SH064","68","61.28","7"
"SH064","72","7.68","8"
"SH065","9","15.44","1"
"SH065","16","13.91","2"
"SH065","27","4.47","3"
"SH065","32","5.97","4"
"SH065","50","42.64","5"
"SH065","55","18.93","6"
"SH065","69","84.67","7"
"SH065","72","7.7","8"
"SH066","4","39.64","1"
"SH066","14","20.47","2"
"SH066","27","5.5","3"
"SH066","31","11.6","4"
"SH066","44","65.09","5"
"SH066","51","21.08","6"
"SH066","70","68.26","7"
"SH066","72","7.92","8"
"SH067","10","24.91","1"
"SH067","11","18.07","2"
"SH067","21","6.09","3"
"SH067","36","9.91","4"
"SH067","43","30.31","5"
"SH067","56","12.03","6"
"SH067","70","59.62","7"
"SH067","72","7.78","8"
"SH068","8","15.91","1"
"SH068","11","19.51","2"
"SH068","29","2.51","3"
"SH068","31","13.75","4"
"SH068","43","35.76","5"
"SH068","59","10.43","6"
"SH068","69","27.75","7"
"SH068","72","7.72","8"
"SH069","3","26.75","1"
"SH069","15","10.94","2"
"SH069","23","6.01","3"
"SH069","33","11.02","4"
"SH069","44","64.88","5"
"SH069","52","10.92","6"
"SH069","70","18.01","7"
"SH069","72","7.78","8"
"SH070","5","49.34","1"
"SH070","17","17.54","2"
"SH070","24","6.99","3"
"SH070","38","9.39","4"
"SH070","46","47.88","5"
"SH070","57","20.47","6"
"SH070","68","45.29","7"
"SH070","72","7.96","8"
"SH071","6","39.39","1"
"SH071","13","23.54","2"
"SH071","21","6.51","3"
"SH071","38","7.57","4"
"SH071","44","64.86","5"
"SH071","52","16.51","6"
"SH071","70","78.34","7"
"SH071","72","7.76","8"
"SH072","9","17.96","1"
"SH072","15","17.43","2"
"SH072","29","4.51","3"
"SH072","34","8.48","4"
"SH072","45","32.66","5"
"SH072","53","16.94","6"
"SH072","69","52.23","7"
"SH072","72","7.93","8"
"SH073","2","41.03","1"
"SH073","20","13.44","2"
"SH073","25","3.98","3"
"SH073","39","5.45","4"
"SH073","46","45.7","5"
"SH073","60","11.89","6"
"SH073","68","58.18","7"
"SH073","72","7.62","8"
"SH074","8","45.08","1"
"SH074","11","19.66","2"
"SH074","30","6.02","3"
"SH074","34","7.54","4"
"SH074","44","34.77","5"
"SH074","54","13.13","6"
"SH074","61","71.73","7"
"SH074","71","8.76","8"
"SH075","5","19.51","1"
"SH075","12","21.43","2"
"SH075","25","6.02","3"
"SH075","38","11.93","4"
"SH075","43","61.98","5"
"SH075","57","8.53","6"
"SH075","63","33.92","7"
"SH075","71","8.78","8"
"SH076","9","35.03","1"
"SH076","14","23.73","2"
"SH076","22","4.5","3"
"SH076","32","5.98","4"
"SH076","44","71.01","5"
"SH076","52","15.98","6"
"SH076","64","34.87","7"
"SH076","71","8.6","8"
"SH077","2","18.45","1"
"SH077","16","10.49","2"
"SH077","26","4.53","3"
"SH077","38","9.01","4"
"SH077","45","31.9","5"
"SH077","51","20.99","6"
"SH077","68","83.71","7"
"SH077","72","7.66","8"
"SH078","3","35.3","1"
"SH078","20","23.56","2"
"SH078","26","3.01","3"
"SH078","32","5.52","4"
"SH078","45","51.05","5"
"SH078","52","15.05","6"
"SH078","62","81.79","7"
"SH078","71","8.94","8"
"SH079","8","29.47","1"
"SH079","13","15.45","2"
"SH079","21","4.52","3"
"SH079","36","9.5","4"
"SH079","41","63.14","5"
"SH079","53","15.52","6"
"SH079","63","82.66","7"
"SH079","71","8.7","8"
"SH080","3","42.99","1"
"SH080","12","17.9","2"
"SH080","24","3.47","3"
"SH080","36","13.47","4"
"SH080","49","67.6","5"
"SH080","54","8.08","6"
"SH080","65","56.18","7"
"SH080","71","8.66","8"
"SH081","5","47.4","1"
"SH081","15","18.51","2"
"SH081","26","7.01","3"
"SH081","36","14.05","4"
"SH081","44","45.01","5"
"SH081","58","10.94","6"
"SH081","70","54.24","7"
"SH081","72","7.53","8"
"SH082","5","47.4","1"
"SH082","18","19.01","2"
"SH082","26","2.49","3"
"SH082","35","5.98","4"
"SH082","50","71.31","5"
"SH082","58","9.46","6"
"SH082","65","50.38","7"
"SH082","71","8.54","8"
"SH083","3","32.55","1"
"SH083","19","14.96","2"
"SH083","27","4.04","3"
"SH083","35","11.39","4"
"SH083","43","74.93","5"
"SH083","52","14.94","6"
"SH083","70","28.93","7"
"SH083","72","7.55","8"
"SH084","6","30.1","1"
"SH084","17","18.88","2"
"SH084","24","4.49","3"
"SH084","36","7.44","4"
"SH084","45","53.07","5"
"SH084","59","9.06","6"
"SH084","64","71.32","7"
"SH084","71","8.58","8"
"SH085","5","38.81","1"
"SH085","19","22.47","2"
"SH085","23","4.94","3"
"SH085","38","13.61","4"
"SH085","42","33.17","5"
"SH085","57","12.09","6"
"SH085","69","49.76","7"
"SH085","72","7.74","8"
"SH086","9","24.75","1"
"SH086","19","11.03","2"
"SH086","26","3.51","3"
"SH086","40","5.43","4"
"SH086","46","41.67","5"
"SH086","57","20.52","6"
"SH086","65","25.42","7"
"SH086","71","8.79","8"
"SH087","7","22.04","1"
"SH087","19","15.59","2"
"SH087","26","5.98","3"
"SH087","35","9.91","4"
"SH087","47","69.69","5"
"SH087","57","9.58","6"
"SH087","62","71.35","7"
"SH087","71","8.42","8"
"SH088","8","41.87","1"
"SH088","13","20.76","2"
"SH088","29","6.45","3"
"SH088","38","14.93","4"
"SH088","43","54.79","5"
"SH088","55","15.08","6"
"SH088","65","83.7","7"
"SH088","71","8.86","8"
"SH089","3","28.4","1"
"SH089","17","10.43","2"
"SH089","30","3.52","3"
"SH089","39","5.55","4"
"SH089","48","74.93","5"
"SH089","57","13.5","6"
"SH089","65","53.31","7"
"SH089","71","8.67","8"
"SH090","5","39.61","1"
"SH090","11","21.5","2"
"SH090","21","4.01","3"
"SH090","38","13.49","4"
"SH090","41","68.42","5"
"SH090","55","20.46","6"
"SH090","67","60.16","7"
"SH090","72","7.73","8"
"SH091","6","32.98","1"
"SH091","17","23.68","2"
"SH091","23","4.58","3"
"SH091","32","11.98","4"
"SH091","43","51.28","5"
"SH091","56","16.37","6"
"SH091","62","23.66","7"
"SH091","71","8.82","8"
"SH092","4","29.08","1"
"SH092","13","22.92","2"
"SH092","25","7.01","3"
"SH092","37","5.93","4"
"SH092","48","52.25","5"
"SH092","55","7.99","6"
"SH092","62","75.33","7"
"SH092","71","9.13","8"
"SH093","9","38.1","1"
"SH093","16","22.51","2"
"SH093","25","6.47","3"
"SH093","38","8.5","4"
"SH093","45","50.54","5"
"SH093","52","17.96","6"
"SH093","66","62.65","7"
"SH093","72","7.46","8"
"SH094","3","33.47","1"
"SH094","14","21.44","2"
"SH094","23","5.04","3"
"SH094","33","6.91","4"
"SH094","44","73.88","5"
"SH094","55","15.51","6"
"SH094","62","65.71","7"
"SH094","71","8.75","8"
"SH095","4","32.13","1"
"SH095","15","16.93","2"
"SH095","28","3.94","3"
"SH095","31","9.59","4"
"SH095","47","52.41","5"
"SH095","58","16.11","6"
"SH095","63","80.19","7"
"SH095","71","8.79","8"
"SH096","7","41.24","1"
"SH096","13","16.99","2"
"SH096","27","6.54","3"
"SH096","32","9.03","4"
"SH096","47","54.57","5"
"SH096","56","13.01","6"
"SH096","69","79.48","7"
"SH096","72","7.77","8"
"SH097","10","31.87","1"
"SH097","14","14.06","2"
"SH097","25","4.46","3"
"SH097","39","9.49","4"
"SH097","49","31.16","5"
"SH097","59","20.08","6"
"SH097","64","27.09","7"
"SH097","71","8.89","8"
"SH098","9","26.91","1"
"SH098","20","12.02","2"
"SH098","25","3.49","3"
"SH098","39","8.99","4"
"SH098","43","51.49","5"
"SH098","57","18.43","6"
"SH098","70","68.84","7"
"SH098","72","7.83","8"
"SH099","2","32.58","1"
"SH099","17","11","2"
"SH099","30","3.99","3"
"SH099","32","9.02","4"
"SH099","44","71.1","5"
"SH099","52","14.07","6"
"SH099","70","15.02","7"
"SH099","72","7.71","8"
"SH100","9","25.39","1"
"SH100","17","10.47","2"
"SH100","24","4.02","3"
"SH100","39","14.53","4"
"SH100","43","52.33","5"
"SH100","54","18","6"
"SH100","61","36.13","7"
"SH100","71","8.66","8"
"SH101","9","26.16","1"
"SH101","18","24.45","2"
"SH101","29","7.01","3"
"SH101","32","9.58","4"
"SH101","42","47.93","5"
"SH101","52","7.48","6"
"SH101","69","39.34","7"
"SH101","72","7.62","8"
"SH102","5","18.28","1"
"SH102","14","18.66","2"
"SH102","22","5.52","3"
"SH102","32","11.89","4"
"SH102","43","36.96","5"
"SH102","55","17.62","6"
"SH102","62","71.67","7"
"SH102","71","8.61","8"
"SH103","5","22.35","1"
"SH103","18","22.81","2"
"SH103","22","5.07","3"
"SH103","31","7.44","4"
"SH103","45","38.65","5"
"SH103","53","15.99","6"
"SH103","66","47.46","7"
"SH103","72","7.51","8"
"SH104","7","27.36","1"
"SH104","18","11.47","2"
"SH104","21","4.5","3"
"SH104","32","6.49","4"
"SH104","44","37.53","5"
"SH104","60","18.96","6"
"SH104","66","47.94","7"
"SH104","72","7.64","8"
"SH105","8","42.68","1"
"SH105","19","11.52","2"
"SH105","28","7.05","3"
"SH105","37","12.08","4"
"SH105","49","47.66","5"
"SH105","59","18.85","6"
"SH105","62","77.79","7"
"SH105","71","8.86","8"
"SH106","9","44.93","1"
"SH106","13","12.6","2"
"SH106","27","4.49","3"
"SH106","35","5.01","4"
"SH106","46","75.43","5"
"SH106","59","16.91","6"
"SH106","68","32.92","7"
"SH106","72","7.8","8"
"SH107","2","30.62","1"
"SH107","15","21.47","2"
"SH107","23","5.01","3"
"SH107","34","10.52","4"
"SH107","42","52.6","5"
"SH107","55","19.41","6"
"SH107","64","71.75","7"
"SH107","71","9","8"
"SH108","9","39.86","1"
"SH108","15","19.05","2"
"SH108","27","6.96","3"
"SH108","37","11.97","4"
"SH108","44","74.62","5"
"SH108","58","8.04","6"
"SH108","65","39.44","7"
"SH108","71","8.83","8"
"SH109","10","44.42","1"
"SH109","16","16.57","2"
"SH109","30","2.49","3"
"SH109","36","5.54","4"
"SH109","43","45.01","5"
"SH109","58","7.48","6"
"SH109","66","67.42","7"
"SH109","72","7.92","8"
"SH110","8","37.52","1"
"SH110","18","19.47","2"
"SH110","29","4.02","3"
"SH110","38","6.97","4"
"SH110","48","52.32","5"
"SH110","57","16","6"
"SH110","62","48.47","7"
"SH110","71","8.51","8"
"SH111","3","27.42","1"
"SH111","12","16.94","2"
"SH111","28","6.01","3"
"SH111","38","10.49","4"
"SH111","42","34.56","5"
"SH111","58","13.55","6"
"SH111","62","19.04","7"
"SH111","71","8.7","8"
"SH112","9","34.62","1"
"SH112","18","23.97","2"
"SH112","28","2.5","3"
"SH112","37","6.38","4"
"SH112","42","46.65","5"
"SH112","57","11.92","6"
"SH112","70","23.38","7"
"SH112","72","7.85","8"
"SH113","5","37.44","1"
"SH113","12","23.54","2"
"SH113","30","5.54","3"
"SH113","34","7.54","4"
"SH113","46","60.27","5"
"SH113","57","11.03","6"
"SH113","64","76.58","7"
"SH113","71","8.99","8"
"SH114","9","20.95","1"
"SH114","18","14.98","2"
"SH114","23","5.99","3"
"SH114","32","10","4"
"SH114","49","71.72","5"
"SH114","52","13.48","6"
"SH114","62","45.93","7"
"SH114","71","8.93","8"
"SH115","4","43.36","1"
"SH115","14","15.04","2"
"SH115","24","4.97","3"
"SH115","32","6.99","4"
"SH115","46","48.52","5"
"SH115","57","8.97","6"
"SH115","62","80.89","7"
"SH115","71","8.85","8"
"SH116","3","23.01","1"
"SH116","15","23.48","2"
"SH116","27","2.98","3"
"SH116","34","6.56","4"
"SH116","47","38","5"
"SH116","60","16.44","6"
"SH116","65","39.48","7"
"SH116","71","8.7","8"
"SH117","8","40.6","1"
"SH117","11","21.37","2"
"SH117","25","2.5","3"
"SH117","37","7.08","4"
"SH117","42","47.16","5"
"SH117","55","13.06","6"
"SH117","64","70.48","7"
"SH117","71","8.84","8"
"SH118","6","47.81","1"
"SH118","19","10.44","2"
"SH118","26","5.49","3"
"SH118","34","9.88","4"
"SH118","42","37.95","5"
"SH118","51","11.44","6"
"SH118","65","50.75","7"
"SH118","71","8.55","8"
"SH119","2","37.31","1"
"SH119","18","11.46","2"
"SH119","21","2.49","3"
"SH119","36","9.97","4"
"SH119","48","38.3","5"
"SH119","59","19.65","6"
"SH119","64","37.54","7"
"SH119","71","8.42","8"
"SH120","2","40.2","1"
"SH120","19","19.95","2"
"SH120","26","6.02","3"
"SH120","34","13.5","4"
"SH120","47","30.57","5"
"SH120","58","10.97","6"
"SH120","64","41.85","7"
"SH120","71","8.66","8"
"SH121","1","39.96","1"
"SH121","14","23.41","2"
"SH121","30","5.94","3"
"SH121","38","8.5","4"
"SH121","50","69.93","5"
"SH121","53","16.98","6"
"SH121","67","82.68","7"
"SH121","72","7.68","8"
"SH122","8","43.21","1"
"SH122","16","10.36","2"
"SH122","27","4.98","3"
"SH122","36","14.53","4"
"SH122","49","30.55","5"
"SH122","57","10.4","6"
"SH122","69","34.05","7"
"SH122","72","7.86","8"
"SH123","8","21.41","1"
"SH123","13","14.88","2"
"SH123","30","3.02","3"
"SH123","38","10.53","4"
"SH123","43","43.71","5"
"SH123","55","7.46","6"
"SH123","69","15.37","7"
"SH123","72","7.73","8"
"SH124","6","22.16","1"
"SH124","14","20.97","2"
"SH124","28","4.48","3"
"SH124","31","12.52","4"
"SH124","42","33.46","5"
"SH124","52","19.56","6"
"SH124","61","19.56","7"
"SH124","71","8.35","8"
"SH125","3","31.58","1"
"SH125","13","21.97","2"
"SH125","25","6.04","3"
"SH125","31","9.06","4"
"SH125","48","60.21","5"
"SH125","52","12.53","6"
"SH125","64","21.9","7"
